Sector,Year,Salary
Community and Social Services,2017,112665.28
Community and Social Services,2017,139576.58
Community and Social Services,2017,107152.5
Community and Social Services,2017,107152.5
Community and Social Services,2017,130832.52
Community and Social Services,2017,118938.56
Community and Social Services,2017,107152.5
Community and Social Services,2017,115688.13
Community and Social Services,2017,133317.86
Community and Social Services,2017,118698.91
Community and Social Services,2017,107361.6
Community and Social Services,2017,116108.82
Community and Social Services,2017,107152.5
Community and Social Services,2017,139802.75
Community and Social Services,2017,107152.5
Community and Social Services,2017,115724.7
Community and Social Services,2017,164060.78
Community and Social Services,2017,118938.56
Community and Social Services,2017,107152.5
Community and Social Services,2017,107152.5
Community and Social Services,2017,150313.02
Community and Social Services,2017,107152.5
Community and Social Services,2017,118938.56
Community and Social Services,2017,107152.5
Community and Social Services,2017,133317.86
Community and Social Services,2017,148302.7
Community and Social Services,2017,107152.5
Community and Social Services,2017,126074.78
Community and Social Services,2017,107152.5
Community and Social Services,2017,119196.22
Community and Social Services,2017,118938.56
Community and Social Services,2017,118938.56
Culture and Tourism,2017,118938.56
Culture and Tourism,2017,162167.77
Culture and Tourism,2017,116428.78
Culture and Tourism,2017,158798.61
Culture and Tourism,2017,109663.84
Culture and Tourism,2017,119597.3
Culture and Tourism,2017,118938.56
Culture and Tourism,2017,119540.46
Culture and Tourism,2017,118938.56
Culture and Tourism,2017,148301.66
Culture and Tourism,2017,117204.88
Culture and Tourism,2017,131308.05
Culture and Tourism,2017,107152.5
Culture and Tourism,2017,108215.78
Culture and Tourism,2017,117607.32
Culture and Tourism,2017,108919.46
Culture and Tourism,2017,111438.6
Culture and Tourism,2017,142107.68
Culture and Tourism,2017,182501.54
Culture and Tourism,2017,107152.5
Culture and Tourism,2017,118938.56
Culture and Tourism,2017,118938.56
Culture and Tourism,2017,107397.23
Culture and Tourism,2017,113752.08
Culture and Tourism,2017,126946.04
Culture and Tourism,2017,164060.78
Culture and Tourism,2017,142107.68
Culture and Tourism,2017,199424.42
Culture and Tourism,2017,107152.5
Culture and Tourism,2017,164060.78
Culture and Tourism,2017,133562.26
Culture and Tourism,2017,200404.88
Culture and Tourism,2017,107152.5
Culture and Tourism,2017,110531.36
Culture and Tourism,2017,107152.5
Culture and Tourism,2017,107152.5
Culture and Tourism,2017,118938.56
Culture and Tourism,2017,153315.5
Culture and Tourism,2017,142996.37
Culture and Tourism,2017,118938.56
Culture and Tourism,2017,164060.78
Culture and Tourism,2017,163807.02
Culture and Tourism,2017,133317.86
Culture and Tourism,2017,112888
Culture and Tourism,2017,115454.56
Culture and Tourism,2017,108919.46
Culture and Tourism,2017,118938.56
Culture and Tourism,2017,164060.78
Culture and Tourism,2017,107152.5
Culture and Tourism,2017,107152.5
Culture and Tourism,2017,115734.06
Culture and Tourism,2017,107152.5
Culture and Tourism,2017,123964.1
Culture and Tourism,2017,109395.78
Culture and Tourism,2017,132319.28
Culture and Tourism,2017,118938.56
Culture and Tourism,2017,120997.09
Culture and Tourism,2017,107152.5
Culture and Tourism,2017,139062.82
Culture and Tourism,2017,107152.5
Culture and Tourism,2017,164060.78
Culture and Tourism,2017,269426.78
Culture and Tourism,2017,107152.5
Culture and Tourism,2017,187283.72
Culture and Tourism,2017,119596.6
Economic Development and Trade,2017,117362.65
Economic Development and Trade,2017,107152.5
Economic Development and Trade,2017,144000
Economic Development and Trade,2017,115724.7
Economic Development and Trade,2017,126879.95
Economic Development and Trade,2017,136763.63
Economic Development and Trade,2017,133317.86
Economic Development and Trade,2017,154642.28
Economic Development and Trade,2017,133317.86
Economic Development and Trade,2017,118938.56
Economic Development and Trade,2017,164060.78
Economic Development and Trade,2017,182501.02
Economic Development and Trade,2017,160450.68
Economic Development and Trade,2017,118938.56
Economic Development and Trade,2017,118938.56
Economic Development and Trade,2017,118938.56
Economic Development and Trade,2017,164565.58
Economic Development and Trade,2017,110933.43
Economic Development and Trade,2017,285877.28
Economic Development and Trade,2017,111518.64
Economic Development and Trade,2017,164060.78
Economic Development and Trade,2017,108766.49
Economic Development and Trade,2017,107152.5
Economic Development and Trade,2017,125279.18
Economic Development and Trade,2017,110290.7
Economic Development and Trade,2017,166560.16
Economic Development and Trade,2017,122518.76
Economic Development and Trade,2017,164060.78
Economic Development and Trade,2017,143983.32
Economic Development and Trade,2017,118938.56
Economic Development and Trade,2017,118938.56
Economic Development and Trade,2017,242068.84
Economic Development and Trade,2017,126539.51
Economic Development and Trade,2017,107152.5
Economic Development and Trade,2017,166457.46
Economic Development and Trade,2017,155000
Economic Development and Trade,2017,133317.86
Economic Development and Trade,2017,285877.28
Economic Development and Trade,2017,164060.78
Economic Development and Trade,2017,109208.84
Economic Development and Trade,2017,109753.68
Economic Development and Trade,2017,134985.24
Economic Development and Trade,2017,111579
Economic Development and Trade,2017,115860.97
Economic Development and Trade,2017,116721.28
Economic Development and Trade,2017,115439.22
Economic Development and Trade,2017,200404.88
Economic Development and Trade,2017,149425.38
Economic Development and Trade,2017,137599.54
Economic Development and Trade,2017,133317.86
Economic Development and Trade,2017,133317.86
Economic Development and Trade,2017,120658.59
Economic Development and Trade,2017,159053.18
Economic Development and Trade,2017,114207.08
Economic Development and Trade,2017,108240.51
Economic Development and Trade,2017,130896.26
Economic Development and Trade,2017,123238.7
Economic Development and Trade,2017,119196.22
Economic Development and Trade,2017,119615.59
Economic Development and Trade,2017,119196.22
Economic Development and Trade,2017,143983.32
Economic Development and Trade,2017,119196.22
Economic Development and Trade,2017,114874.24
Economic Development and Trade,2017,127407.28
Economic Development and Trade,2017,136845.67
Economic Development and Trade,2017,118938.56
Economic Development and Trade,2017,155535.12
Economic Development and Trade,2017,133317.86
Economic Development and Trade,2017,157322.96
Economic Development and Trade,2017,114717.89
Economic Development and Trade,2017,125984.04
Economic Development and Trade,2017,143427.18
Economic Development and Trade,2017,114364
Economic Development and Trade,2017,118938.56
Economic Development and Trade,2017,164060.8
Economic Development and Trade,2017,129750.16
Economic Development and Trade,2017,133317.86
Economic Development and Trade,2017,147646.72
Economic Development and Trade,2017,148490.68
Economic Development and Trade,2017,110532.78
Economic Development and Trade,2017,116759.24
Economic Development and Trade,2017,107152.5
Economic Development and Trade,2017,133317.86
Economic Development and Trade,2017,128432.72
Economic Development and Trade,2017,122392.14
Economic Development and Trade,2017,115724.7
Economic Development and Trade,2017,118938.56
Economic Development and Trade,2017,118938.56
Economic Development and Trade,2017,153595.52
Economic Development and Trade,2017,137599.54
Education,2017,133440.75
Education,2017,118938.56
Education,2017,152302.28
Education,2017,118938.56
Education,2017,118938.56
Education,2017,127407.28
Education,2017,115724.7
Education,2017,113771.58
Education,2017,122519.54
Education,2017,120493.9
Education,2017,118938.56
Education,2017,118938.56
Education,2017,133317.86
Education,2017,118938.56
Education,2017,118938.56
